power, vel
-1, 0
-1, 0
-1, -219.1
-1, -294.107
-1, -324.254
-1, -352.128
-1, -349.91
-1, -367.613
-1, -364.947
-1, -381.279
-1, -372.439
-1, -384.911
-1, -396
-1, -381.935
-1, -390.434
-1, -379.543
-1, -382.867
-1, -383.638
-1, -390.263
-1, -388.274
-1, -392.85
-1, -388.954
-1, -381.443
-1, -391.926
-1, -378.412
-1, -389.238
-1, -383.803
-1, -381.825
-1, -386.81
-1, -390.492
-1, -381.279
-1, -383.362
-1, -381.007
-1, -386.698
-1, -390.206
-1, -390.035
-1, -392.966
-1, -378.465
-1, -394.069
-1, -377.608
-1, -392.157
-1, -385.579
-1, -392.157
-1, -389.75
-1, -399.56
-1, -397.121
-1, -385.747
-1, -385.97
-1, -383.638
-1, -389.238
-1, -391.639
-0.98, -394.127
-0.98, -388.784
-0.98, -386.305
-0.98, -383.914
-0.98, -381.989
-0.98, -389.579
-0.98, -389.294
-0.98, -385.914
-0.98, -397.535
-0.98, -391.581
-0.98, -389.807
-0.98, -392.966
-0.98, -378.949
-0.98, -381.607
-0.98, -390.835
-0.98, -391.064
-0.98, -396.118
-0.98, -393.43
-0.98, -384.911
-0.98, -382.153
-0.98, -389.067
-0.98, -386.138
-0.98, -389.181
-0.98, -387.541
-0.98, -379.489
-0.98, -388.727
-0.98, -384.301
-0.98, -385.412
-0.98, -393.72
-0.98, -381.935
-0.98, -388.614
-0.98, -391.409
-0.98, -397.595
-0.98, -384.8
-0.98, -393.082
-0.98, -382.153
-0.98, -387.315
-0.98, -396.059
-0.98, -379.867
-0.98, -386.81
-0.98, -381.388
-0.98, -388.897
-0.98, -386.922
-0.98, -385.524
-0.98, -389.636
-0.98, -394.769
-0.98, -384.523
-0.98, -394.536
-0.98, -387.372
-0.98, -392.85
-0.98, -385.914
-0.96, -391.869
-0.96, -385.468
-0.96, -381.279
-0.96, -389.465
-0.96, -366.754
-0.96, -369.191
-0.96, -365.197
-0.96, -364.697
-0.96, -362.171
-0.96, -361.141
-0.96, -375.111
-0.96, -364.897
-0.96, -367.867
-0.96, -357.894
-0.96, -360.409
-0.96, -361.288
-0.96, -357.175
-0.96, -363.207
-0.96, -364.299
-0.96, -371.816
-0.96, -364.747
-0.96, -378.896
-0.96, -357.606
-0.96, -362.024
-0.96, -360.409
-0.96, -367.918
-0.96, -353.294
-0.96, -366.3
-0.96, -364
-0.96, -362.614
-0.96, -358.471
-0.96, -352.128
-0.96, -361.386
-0.96, -355.983
-0.96, -359.68
-0.96, -359.583
-0.96, -364
-0.96, -378.842
-0.96, -361.827
-0.96, -372.908
-0.96, -354.139
-0.96, -367.107
-0.96, -356.554
-0.96, -370.525
-0.96, -360.946
-0.96, -369.908
-0.96, -354.988
-0.96, -363.851
-0.96, -360.799
-0.96, -356.316
-0.96, -363.207
-0.94, -360.995
-0.94, -364.598
-0.94, -360.848
-0.94, -354.704
-0.94, -348.766
-0.94, -356.745
-0.94, -346.096
-0.94, -354.233
-0.94, -345.737
-0.94, -358.086
-0.94, -351.617
-0.94, -355.319
-0.94, -353.201
-0.94, -350.232
-0.94, -351.339
-0.94, -355.983
-0.94, -357.99
-0.94, -354.233
-0.94, -361.386
-0.94, -356.84
-0.94, -355.129
-0.94, -347.947
-0.94, -349.864
-0.94, -354.374
-0.94, -359.292
-0.94, -355.413
-0.94, -370.525
-0.94, -358.375
-0.94, -366.603
-0.94, -350.232
-0.94, -356.459
-0.94, -351.989
-0.94, -343.82
-0.94, -352.78
-0.94, -361.288
-0.94, -362.861
-0.94, -357.558
-0.94, -346.726
-0.94, -364.997
-0.94, -355.745
-0.94, -356.268
-0.94, -352.547
-0.94, -355.603
-0.94, -350.002
-0.94, -356.84
-0.94, -354.374
-0.94, -358.568
-0.94, -349.727
-0.94, -355.366
-0.94, -353.388
-0.94, -367.867
-0.92, -347.675
-0.92, -353.763
-0.92, -345.244
-0.92, -351.293
-0.92, -348.812
