power, vel
-1, 0
-1, -69.0846
-1, -252.621
-1, -285.449
-1, -329.788
-1, -339.4
-1, -348.538
-1, -365.147
-1, -363.702
-1, -360.068
-1, -352.128
-1, -373.013
-1, -357.99
-1, -371.713
-1, -363.702
-1, -380.409
-1, -374.427
-1, -375.799
-1, -386.305
-1, -379.651
-1, -359.195
-1, -370.731
-1, -375.693
-1, -375.323
-1, -380.898
-1, -372.232
-1, -373.43
-1, -369.959
-1, -367.816
-1, -385.579
-1, -370.473
-1, -372.7
-1, -380.952
-1, -373.797
-1, -357.702
-1, -360.702
-1, -366.099
-1, -382.099
-1, -375.64
-1, -373.692
-1, -367.968
-1, -369.447
-1, -391.581
-1, -361.827
-1, -366.451
-1, -368.019
-1, -370.319
-1, -376.223
-1, -367.057
-1, -391.236
-1, -375.64
-0.98, -386.698
-0.98, -376.861
-0.98, -378.949
-0.98, -368.834
-0.98, -369.447
-0.98, -374.848
-0.98, -359.971
-0.98, -374.848
-0.98, -373.013
-0.98, -384.578
-0.98, -391.351
-0.98, -368.732
-0.98, -377.287
-0.98, -365.748
-0.98, -395.531
-0.98, -383.472
-0.98, -372.856
-0.98, -369.908
-0.98, -374.953
-0.98, -369.703
-0.98, -373.954
-0.98, -376.488
-0.98, -373.274
-0.98, -382.208
-0.98, -364.598
-0.98, -389.294
-0.98, -385.412
-0.98, -347.448
-0.98, -357.27
-0.98, -402.881
-0.98, -376.17
-0.98, -374.479
-0.98, -383.583
-0.98, -386.026
-0.98, -377.394
-0.98, -371.144
-0.98, -376.011
-0.98, -378.896
-0.98, -378.412
-0.98, -376.011
-0.98, -369.805
-0.98, -376.223
-0.98, -376.914
-0.98, -368.273
-0.98, -374.9
-0.98, -369.857
-0.98, -362.368
-0.98, -380.355
-0.98, -367.208
-0.98, -371.144
-0.98, -376.329
-0.96, -368.579
-0.96, -375.693
-0.96, -359.826
-0.96, -366.2
-0.96, -365.999
-0.96, -366.099
-0.96, -359.971
-0.96, -348.265
-0.96, -351.201
-0.96, -345.155
-0.96, -354.233
-0.96, -352.594
-0.96, -366.855
-0.96, -352.128
-0.96, -347.72
